company_name,location,official_website
Andreessen Horowitz," Menlo Park, Calif.",http://a16z.com/
Khosla Ventures," Menlo Park, Calif.",http://www.khoslaventures.com/
SV Angel," Palo Alto, Calif.",http://svangel.com/
Accel Partners," Palo Alto, Calif.",http://www.accel.com/
New Enterprise Associates," Menlo Park, Calif",http://www.nea.com/
Sequoia Capital," Menlo Park, Calif.",https://www.sequoiacap.com/
Venrock," Palo Alto, Calif",http://www.venrock.com/
First Round Capital, San Francisco,http://www.firstround.com/
Spark Capital, Boston,http://sparkcapital.com/
Triangle Peak Partners," Carmel, Calif.",http://www.trianglepeakpartners.com/
Franklin Square Capital Partners, Philadelphia,http://www.franklinsquare.com/
Kleiner Perkins Caufield," Menlo Park, Calif.",http://www.kpcb.com/
Google Ventures," Mountain View, Calif.",http://www.gv.com/
Founders Fund, San Francisco,http://www.foundersfund.com/
ARCH Venture Partners, Chicago,http://www.archventure.com/
Bezos Expeditions," Mercer Island, Wash.",http://www.bezosexpeditions.com/
Lightspeed Venture Partners," Menlo Park, Calif.",http://www.lsvp.com/
Thrive Capital, New York City,http://www.thrivecap.com/
General Catalyst Partners," Cambridge, Mass.",http://www.generalcatalyst.com/
Redpoint Ventures," Menlo Park, Calif.",http://www.redpoint.com/
Atlas Venture," Cambridge, Mass.",http://www.atlasventure.com/
QED Investors," Alexandria, Va.",http://www.qedinvestors.com/
Greylock Partners," Menlo Park, Calif.",http://www.greylock.com/
Formation 8, San Francisco,http://www.formation8.com/
Bain Capital Ventures, Boston,http://www.baincapitalventures.com/
Iridium Communications," McLean, Va.",http://www.iridium.com
Lerer Hippeau Ventures, New York City,http://www.lererhippeau.com
Collaborative Fund," Brooklyn, NY",http://www.collaborativefund.com
Bessemer Venture Partners," Larchmont, NY",http://www.bvp.com
Flagship Ventures," Cambridge, Mass.",http://www.flagshipventures.com
OrbiMed Advisors, New York City,http://www.orbimed.com
SherpaVentures, San Francisco,http://www.sherpavc.com
Insight Venture Partners, New York City,http://www.insightpartners.com
Institutional Venture Partners," Menlo Park, Calif.",http://www.ivp.com
True Ventures," Palo Alto, Calif.",http://www.trueventures.com
Greycroft Partners, New York City,http://www.greycroft.com
Menlo Ventures," Menlo Park, Calif.",http://www.menloventures.com
